,,,"5350011.00 [Census tract], Ontario",,,,,,"Toronto [Census metropolitan area], Ontario",,,,,
Mother tongue,          Turkish,,70,,35,,35,,13700,,7145,,6550,
Mother tongue,          Uyghur,,0,,0,,0,,385,,195,,195,
Mother tongue,          Uzbek,,0,,0,,0,,595,,300,,295,
Mother tongue,          Turkic languages; n.i.e.,,0,,0,,0,,405,,180,,225,
Mother tongue,        Uralic languages,,40,,20,,20,,24330,,10880,,13455,
Mother tongue,          Estonian,,10,,5,,5,,2685,,1100,,1585,
Mother tongue,          Finnish,,10,,5,,5,,2515,,1010,,1505,
Mother tongue,          Hungarian,,25,,10,,15,,19130,,8765,,10360,
Mother tongue,          Uralic languages; n.i.e.,,0,,0,,0,,0,,5,,0,
Mother tongue,        Other languages; n.i.e.,,0,,0,,0,,960,,495,,465,
Mother tongue,  Multiple responses,,605,,300,,300,,237755,,114960,,122795,
Mother tongue,    English and French,,95,,50,,45,,14945,,6895,,8050,
Mother tongue,    English and non-official language,,450,,230,,225,,210320,,102445,,107880,
Mother tongue,    French and non-official language,,25,,10,,20,,6050,,2715,,3330,
Mother tongue,    English; French and non-official language,,25,,10,,15,,6440,,2910,,3535,
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,19,17455,,8995,,8455,,5883670,,2858785,,3024880,
Language spoken most often at home,  Single responses,,16850,,8715,,8135,,5321900,,2588170,,2733730,
Language spoken most often at home,    Official languages,,15290,,8010,,7280,,3866565,,1899565,,1966995,
Language spoken most often at home,      English,,15065,,7885,,7180,,3836765,,1885800,,1950970,
Language spoken most often at home,      French,,225,,120,,105,,29795,,13770,,16030,
Language spoken most often at home,    Non-official languages,,1565,,710,,855,,1455335,,688605,,766730,
Language spoken most often at home,      Aboriginal languages,,0,,0,,0,,160,,85,,80,
Language spoken most often at home,        Algonquian languages,,0,,0,,0,,80,,40,,35,
Language spoken most often at home,          Blackfoot,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Cree-Montagnais languages,,0,,0,,0,,20,,10,,10,
Language spoken most often at home,            Atikamekw,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Montagnais (Innu),,0,,0,,0,,5,,5,,0,
Language spoken most often at home,            Moose Cree,,0,,0,,0,,0,,5,,0,
Language spoken most often at home,            Naskapi,,0,,0,,0,,5,,5,,5,
Language spoken most often at home,            Northern East Cree,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Plains Cree,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Southern East Cree,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Swampy Cree,,0,,0,,0,,0,,5,,0,
Language spoken most often at home,            Woods Cree,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Cree; n.o.s.,,0,,0,,0,,10,,5,,10,
Language spoken most often at home,          Eastern Algonquian languages,,0,,0,,0,,5,,5,,0,
Language spoken most often at home,            Malecite,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Mi'kmaq,,0,,0,,0,,5,,5,,0,
Language spoken most often at home,          Ojibway-Potawatomi languages,,0,,0,,0,,45,,20,,20,
Language spoken most often at home,            Algonquin,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Ojibway,,0,,0,,0,,35,,20,,15,
Language spoken most often at home,            Oji-Cree,,0,,0,,0,,5,,0,,5,
Language spoken most often at home,            Ottawa (Odawa),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Algonquian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Athabaskan languages,,0,,0,,0,,15,,5,,5,
Language spoken most often at home,          Northern Athabaskan languages,,0,,0,,0,,10,,5,,5,
Language spoken most often at home,            Babine (Wetsuwet'en),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Beaver,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Carrier,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Chilcotin,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Dene,,0,,0,,0,,5,,0,,0,
Language spoken most often at home,            Dogrib (Tlicho),,0,,0,,0,,0,,0,,5,
Language spoken most often at home,            Gwich'in,,0,,0,,0,,5,,5,,5,
Language spoken most often at home,            Sarsi (Sarcee),,0,,0,,0,,5,,5,,0,
Language spoken most often at home,            Sekani,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Slavey-Hare languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              North Slavey (Hare),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              South Slavey,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Slavey; n.o.s.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Tahltan languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Kaska (Nahani),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Tahltan,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,            Tutchone languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Northern Tutchone,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,              Southern Tutchone,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Athabaskan languages; n.i.e.,,0,,0,,0,,5,,0,,0,
Language spoken most often at home,        Haida,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Inuit languages,,0,,0,,0,,10,,5,,0,
Language spoken most often at home,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Inuktitut,,0,,0,,0,,15,,5,,0,
Language spoken most often at home,          Inuit languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Iroquoian languages,,0,,0,,0,,5,,5,,0,
Language spoken most often at home,          Cayuga,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Mohawk,,0,,0,,0,,5,,0,,5,
Language spoken most often at home,          Oneida,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Iroquoian languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Kutenai,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Michif,,0,,0,,0,,0,,5,,0,
Language spoken most often at home,        Salish languages,,0,,0,,0,,0,,0,,5,
Language spoken most often at home,          Comox,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Halkomelem,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Lillooet,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Okanagan,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Shuswap (Secwepemctsin),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Squamish,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Straits,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Thompson (Ntlakapamux),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Salish languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Siouan languages,,0,,0,,0,,0,,5,,0,
Language spoken most often at home,          Dakota,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Stoney,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Siouan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Tlingit,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Tsimshian languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Gitxsan (Gitksan),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Nisga'a,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Tsimshian,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Wakashan languages,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Haisla,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Heiltsuk,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Kwakiutl (Kwak'wala),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Nuu-chah-nulth (Nootka),,0,,0,,0,,0,,0,,0,
Language spoken most often at home,          Wakashan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Aboriginal languages; n.o.s.,,0,,0,,0,,50,,25,,30,
Language spoken most often at home,      Non-Aboriginal languages,,1565,,710,,850,,1455175,,688520,,766655,
Language spoken most often at home,        Afro-Asiatic languages,,70,,40,,30,,74095,,35480,,38615,
Language spoken most often at home,          Berber languages,,0,,0,,0,,65,,30,,30,
Language spoken most often at home,            Kabyle,,0,,0,,0,,35,,15,,15,
Language spoken most often at home,            Berber languages; n.i.e.,,0,,0,,0,,35,,15,,15,
Language spoken most often at home,          Cushitic languages,,5,,0,,0,,8380,,3530,,4850,
Language spoken most often at home,            Bilen,,0,,0,,0,,40,,15,,20,
Language spoken most often at home,            Oromo,,0,,0,,0,,545,,250,,290,
Language spoken most often at home,            Somali,,0,,5,,0,,7765,,3250,,4520,
Language spoken most often at home,            Cushitic languages; n.i.e.,,0,,0,,0,,30,,15,,20,
Language spoken most often at home,          Semitic languages,,70,,40,,30,,65465,,31830,,33635,
Language spoken most often at home,            Amharic,,10,,5,,5,,3815,,1680,,2135,
Language spoken most often at home,            Arabic,,50,,30,,25,,45020,,22145,,22875,
Language spoken most often at home,            Assyrian Neo-Aramaic,,5,,0,,5,,6790,,3255,,3535,
Language spoken most often at home,            Chaldean Neo-Aramaic,,0,,0,,0,,1095,,535,,560,
Language spoken most often at home,            Harari,,0,,0,,0,,520,,235,,285,
Language spoken most often at home,            Hebrew,,5,,5,,0,,4395,,2265,,2135,
Language spoken most often at home,            Maltese,,0,,0,,0,,875,,395,,475,
Language spoken most often at home,            Tigrigna,,5,,0,,0,,2480,,1085,,1395,
Language spoken most often at home,            Semitic languages; n.i.e.,,0,,0,,0,,480,,225,,250,
Language spoken most often at home,          Afro-Asiatic languages; n.i.e.,,0,,0,,0,,185,,90,,95,
Language spoken most often at home,        Austro-Asiatic languages,,10,,5,,5,,33450,,15260,,18190,
Language spoken most often at home,          Khmer (Cambodian),,0,,0,,0,,1655,,725,,935,
Language spoken most often at home,          Vietnamese,,15,,10,,5,,31760,,14525,,17235,
Language spoken most often at home,          Austro-Asiatic languages; n.i.e,,0,,0,,0,,30,,15,,20,
Language spoken most often at home,        Austronesian languages,,25,,10,,15,,72495,,30930,,41570,
Language spoken most often at home,          Bikol,,0,,0,,0,,85,,35,,45,
Language spoken most often at home,          Cebuano,,0,,5,,0,,1875,,810,,1065,
Language spoken most often at home,          Fijian,,0,,0,,0,,10,,10,,5,
Language spoken most often at home,          Hiligaynon,,0,,0,,0,,780,,335,,445,
Language spoken most often at home,          Ilocano,,0,,0,,0,,3455,,1480,,1970,
Language spoken most often at home,          Malagasy,,0,,0,,0,,10,,5,,5,
Language spoken most often at home,          Malay,,5,,0,,0,,1455,,705,,750,
Language spoken most often at home,          Pampangan (Kapampangan; Pampango),,0,,0,,0,,405,,180,,225,
Language spoken most often at home,          Pangasinan,,0,,0,,0,,80,,35,,40,
Language spoken most often at home,          Tagalog (Pilipino; Filipino),,20,,5,,10,,63985,,27170,,36815,
Language spoken most often at home,          Waray-Waray,,0,,0,,0,,75,,30,,45,
Language spoken most often at home,          Austronesian languages; n.i.e.,,0,,0,,0,,285,,135,,150,
Language spoken most often at home,        Creole languages,,5,,0,,0,,2845,,1315,,1535,
Language spoken most often at home,          Haitian Creole,,0,,0,,0,,120,,55,,60,
Language spoken most often at home,          Creole; n.o.s.,,0,,0,,0,,1950,,900,,1050,
Language spoken most often at home,          Creole languages; n.i.e.,,0,,0,,0,,780,,355,,425,
Language spoken most often at home,        Dravidian languages,,20,,10,,10,,88295,,42605,,45695,
Language spoken most often at home,          Kannada,,0,,0,,0,,830,,415,,410,
Language spoken most often at home,          Malayalam,,5,,0,,5,,6400,,3260,,3140,
Language spoken most often at home,          Tamil,,5,,5,,0,,76095,,36265,,39830,
Language spoken most often at home,          Telugu,,10,,0,,5,,4870,,2615,,2255,
Language spoken most often at home,          Dravidian languages; n.i.e.,,0,,0,,0,,95,,40,,50,
Language spoken most often at home,        Hmong-Mien languages,,0,,0,,0,,5,,0,,5,
Language spoken most often at home,        Indo-European languages,,690,,335,,350,,723495,,347435,,376055,
Language spoken most often at home,          Albanian,,0,,0,,0,,6385,,3195,,3190,
Language spoken most often at home,          Armenian,,10,,5,,5,,7475,,3530,,3940,
Language spoken most often at home,          Balto-Slavic languages,,150,,65,,90,,135230,,63280,,71950,
Language spoken most often at home,            Baltic languages,,0,,0,,0,,1640,,680,,960,
Language spoken most often at home,              Latvian,,0,,0,,0,,600,,245,,355,
Language spoken most often at home,              Lithuanian,,0,,0,,0,,1045,,440,,605,
Language spoken most often at home,            Slavic languages,,150,,65,,90,,133590,,62600,,70995,
Language spoken most often at home,              Belarusan,,0,,0,,0,,125,,60,,65,
Language spoken most often at home,              Bosnian,,10,,0,,5,,1330,,645,,690,
Language spoken most often at home,              Bulgarian,,0,,0,,0,,3860,,1875,,1980,
Language spoken most often at home,              Croatian,,5,,0,,5,,5940,,2845,,3095,
Language spoken most often at home,              Czech,,5,,5,,5,,1415,,685,,730,
Language spoken most often at home,              Macedonian,,5,,0,,0,,4970,,2355,,2615,
Language spoken most often at home,              Polish,,10,,5,,10,,33325,,15550,,17775,
Language spoken most often at home,              Russian,,85,,35,,50,,53675,,24950,,28720,
Language spoken most often at home,              Serbian,,25,,10,,10,,12200,,5910,,6290,
Language spoken most often at home,              Serbo-Croatian,,0,,0,,0,,935,,435,,500,
Language spoken most often at home,              Slovak,,0,,0,,0,,2290,,1115,,1175,
Language spoken most often at home,              Slovene (Slovenian),,0,,0,,0,,890,,385,,500,
Language spoken most often at home,              Ukrainian,,5,,0,,0,,12515,,5720,,6790,
Language spoken most often at home,              Slavic languages; n.i.e.,,0,,0,,0,,135,,55,,80,
Language spoken most often at home,          Celtic languages,,0,,0,,0,,65,,35,,30,
Language spoken most often at home,            Scottish Gaelic,,0,,0,,0,,25,,15,,10,
Language spoken most often at home,            Welsh,,0,,0,,0,,20,,5,,10,
Language spoken most often at home,            Celtic languages; n.i.e.,,0,,0,,0,,25,,10,,10,
Language spoken most often at home,          Germanic languages,,30,,15,,15,,5315,,2430,,2885,
Language spoken most often at home,            Afrikaans,,0,,0,,0,,265,,125,,145,
Language spoken most often at home,            Danish,,0,,5,,0,,135,,65,,75,
Language spoken most often at home,            Dutch,,10,,5,,5,,655,,300,,350,
Language spoken most often at home,            Frisian,,0,,0,,0,,5,,0,,0,
Language spoken most often at home,            German,,15,,10,,5,,3590,,1625,,1965,
Language spoken most often at home,            Icelandic,,0,,0,,0,,20,,5,,15,
Language spoken most often at home,            Norwegian,,0,,0,,0,,45,,15,,20,
Language spoken most often at home,            Swedish,,5,,5,,5,,220,,100,,120,
Language spoken most often at home,            Vlaams (Flemish),,0,,0,,0,,25,,15,,10,
Language spoken most often at home,            Yiddish,,0,,0,,0,,350,,175,,175,
Language spoken most often at home,            Germanic languages; n.i.e.,,0,,0,,0,,10,,5,,0,
Language spoken most often at home,          Greek,,10,,5,,5,,16940,,7905,,9035,
Language spoken most often at home,          Indo-Iranian languages,,205,,105,,100,,367340,,181800,,185540,
Language spoken most often at home,            Indo-Aryan languages,,75,,45,,30,,292940,,145580,,147360,
Language spoken most often at home,              Bengali,,5,,0,,0,,24615,,12140,,12470,
Language spoken most often at home,              Gujarati,,0,,5,,0,,38265,,18750,,19515,
Language spoken most often at home,              Hindi,,40,,20,,15,,23995,,11925,,12065,
Language spoken most often at home,              Kashmiri,,0,,0,,0,,50,,25,,25,
Language spoken most often at home,              Konkani,,0,,0,,0,,440,,215,,230,
Language spoken most often at home,              Marathi,,0,,0,,0,,2000,,1030,,970,
Language spoken most often at home,              Nepali,,0,,0,,0,,3085,,1560,,1525,
Language spoken most often at home,              Oriya (Odia),,0,,0,,0,,270,,135,,140,
Language spoken most often at home,              Punjabi (Panjabi),,5,,0,,5,,116045,,58355,,57690,
Language spoken most often at home,              Sindhi,,0,,5,,0,,2485,,1140,,1350,
Language spoken most often at home,              Sinhala (Sinhalese),,5,,5,,0,,3580,,1750,,1825,
Language spoken most often at home,              Urdu,,15,,5,,5,,78105,,38560,,39550,
